acc,auc,duration,fold,framework,id,info,logloss,mode,models,models_ensemble,params,predict_duration,result,seed,tag,task,utc,version
0.875128,0.931155,4227.2,0,GoogleAutoMLTables_benchmark,openml.org/t/7592,,,local,-1.0,-1.0,,136.077,0.931155,1456856717,stable,adult,2020-01-27T02:30:14,0.0.1
,,2.5,1,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,1456856718,stable,adult,2020-01-27T02:30:17,0.0.1
,,2.5,2,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,1456856719,stable,adult,2020-01-27T02:30:19,0.0.1
,,2.5,3,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,1456856720,stable,adult,2020-01-27T02:30:22,0.0.1
,,2.5,4,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,1456856721,stable,adult,2020-01-27T02:30:25,0.0.1
,,2.5,5,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,1456856722,stable,adult,2020-01-27T02:30:27,0.0.1
,,2.5,6,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,1456856723,stable,adult,2020-01-27T02:30:30,0.0.1
,,2.5,7,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,1456856724,stable,adult,2020-01-27T02:30:32,0.0.1
,,2.5,8,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,1456856725,stable,adult,2020-01-27T02:30:35,0.0.1
,,2.5,9,GoogleAutoMLTables_benchmark,openml.org/t/7592,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 9,,local,,,,,,1456856726,stable,adult,2020-01-27T02:30:37,0.0.1
0.672426,0.728065,4838.0,0,GoogleAutoMLTables_benchmark,openml.org/t/189354,,,local,-1.0,-1.0,,168.08700000000005,0.728065,2117374657,stable,Airlines,2020-01-27T10:48:25,0.0.1
,,18.2,1,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,2117374658,stable,Airlines,2020-01-27T10:48:43,0.0.1
,,18.0,2,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,2117374659,stable,Airlines,2020-01-27T10:49:01,0.0.1
,,17.8,3,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,2117374660,stable,Airlines,2020-01-27T10:49:19,0.0.1
,,18.1,4,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,2117374661,stable,Airlines,2020-01-27T10:49:37,0.0.1
,,18.2,5,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,2117374662,stable,Airlines,2020-01-27T10:49:55,0.0.1
,,17.9,6,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,2117374663,stable,Airlines,2020-01-27T10:50:13,0.0.1
,,17.7,7,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,2117374664,stable,Airlines,2020-01-27T10:50:31,0.0.1
,,17.9,8,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,2117374665,stable,Airlines,2020-01-27T10:50:49,0.0.1
,,18.0,9,GoogleAutoMLTables_benchmark,openml.org/t/189354,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 9,,local,,,,,,2117374666,stable,Airlines,2020-01-27T10:51:07,0.0.1
0.689234,0.757916,5247.1,0,GoogleAutoMLTables_benchmark,openml.org/t/189356,,,local,-1.0,-1.0,,149.39,0.757916,1030357815,stable,Albert,2020-01-27T22:33:43,0.0.1
,,215.5,1,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,1030357816,stable,Albert,2020-01-27T22:37:19,0.0.1
,,215.7,2,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,1030357817,stable,Albert,2020-01-27T22:40:55,0.0.1
,,215.7,3,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,1030357818,stable,Albert,2020-01-27T22:44:30,0.0.1
,,215.7,4,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,1030357819,stable,Albert,2020-01-27T22:48:06,0.0.1
,,216.3,5,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,1030357820,stable,Albert,2020-01-27T22:51:42,0.0.1
,,216.2,6,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,1030357821,stable,Albert,2020-01-27T22:55:19,0.0.1
,,217.0,7,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,1030357822,stable,Albert,2020-01-27T22:58:56,0.0.1
,,217.5,8,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,1030357823,stable,Albert,2020-01-27T23:02:33,0.0.1
,,218.1,9,GoogleAutoMLTables_benchmark,openml.org/t/189356,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 9,,local,,,,,,1030357824,stable,Albert,2020-01-27T23:06:11,0.0.1
0.945987,0.8704799999999999,4868.1,0,GoogleAutoMLTables_benchmark,openml.org/t/34539,,,local,-1.0,-1.0,,140.534,0.8704799999999999,2463229497,stable,Amazon_employee_access,2020-01-27T02:40:54,0.0.1
,,1.2,1,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,2463229498,stable,Amazon_employee_access,2020-01-27T02:40:55,0.0.1
,,1.3,2,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,2463229499,stable,Amazon_employee_access,2020-01-27T02:40:56,0.0.1
,,1.3,3,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,2463229500,stable,Amazon_employee_access,2020-01-27T02:40:57,0.0.1
,,1.3,4,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,2463229501,stable,Amazon_employee_access,2020-01-27T02:40:59,0.0.1
,,1.1,5,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,2463229502,stable,Amazon_employee_access,2020-01-27T02:41:00,0.0.1
,,1.3,6,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,2463229503,stable,Amazon_employee_access,2020-01-27T02:41:01,0.0.1
,,1.3,7,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,2463229504,stable,Amazon_employee_access,2020-01-27T02:41:02,0.0.1
,,1.1,8,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,2463229505,stable,Amazon_employee_access,2020-01-27T02:41:04,0.0.1
,,1.3,9,GoogleAutoMLTables_benchmark,openml.org/t/34539,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 9,,local,,,,,,2463229506,stable,Amazon_employee_access,2020-01-27T02:41:05,0.0.1
0.994868,0.994112,5595.5,0,GoogleAutoMLTables_benchmark,openml.org/t/168868,,,local,-1.0,-1.0,,262.99,0.994112,1534599080,stable,APSFailure,2020-01-27T02:53:50,0.0.1
,,25.2,1,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 1,,local,,,,,,1534599081,stable,APSFailure,2020-01-27T02:54:15,0.0.1
,,25.1,2,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 2,,local,,,,,,1534599082,stable,APSFailure,2020-01-27T02:54:40,0.0.1
,,24.9,3,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 3,,local,,,,,,1534599083,stable,APSFailure,2020-01-27T02:55:05,0.0.1
,,25.1,4,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 4,,local,,,,,,1534599084,stable,APSFailure,2020-01-27T02:55:30,0.0.1
,,25.1,5,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 5,,local,,,,,,1534599085,stable,APSFailure,2020-01-27T02:55:55,0.0.1
,,24.8,6,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 6,,local,,,,,,1534599086,stable,APSFailure,2020-01-27T02:56:20,0.0.1
,,25.1,7,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 7,,local,,,,,,1534599087,stable,APSFailure,2020-01-27T02:56:45,0.0.1
,,24.8,8,GoogleAutoMLTables_benchmark,openml.org/t/168868,AssertionError: config.fold must be 0 when running AutoML Tables! Value: 8,,local,,,,,,1534599088,stable,APSFailure,2020-01-27T02:57:10,0.0.1
