acc,auc,duration,fold,framework,id,info,logloss,mode,models,models_ensemble,params,predict_duration,result,seed,tag,task,utc,version
0.876561,0.9323290000000001,554.5,0,autogluon_nobag,openml.org/t/7592,,,local,11.0,11.0,,0.116623,0.9323290000000001,561249353,stable,adult,2020-02-03T08:40:02,0.0.5
,,2.4,1,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 1,,local,,,,,,561249354,stable,adult,2020-02-03T08:40:04,0.0.5
,,2.4,2,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 2,,local,,,,,,561249355,stable,adult,2020-02-03T08:40:07,0.0.5
,,2.4,3,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 3,,local,,,,,,561249356,stable,adult,2020-02-03T08:40:09,0.0.5
,,2.4,4,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 4,,local,,,,,,561249357,stable,adult,2020-02-03T08:40:11,0.0.5
,,2.4,5,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 5,,local,,,,,,561249358,stable,adult,2020-02-03T08:40:14,0.0.5
,,2.5,6,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 6,,local,,,,,,561249359,stable,adult,2020-02-03T08:40:16,0.0.5
,,2.4,7,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 7,,local,,,,,,561249360,stable,adult,2020-02-03T08:40:19,0.0.5
,,2.4,8,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 8,,local,,,,,,561249361,stable,adult,2020-02-03T08:40:21,0.0.5
,,2.4,9,autogluon_nobag,openml.org/t/7592,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 9,,local,,,,,,561249362,stable,adult,2020-02-03T08:40:24,0.0.5
0.673335,0.728916,3758.0,0,autogluon_nobag,openml.org/t/189354,,,local,9.0,9.0,,9.0955,0.728916,987063140,stable,Airlines,2020-02-03T09:37:23,0.0.5
,,16.8,1,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 1,,local,,,,,,987063141,stable,Airlines,2020-02-03T09:37:40,0.0.5
,,16.6,2,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 2,,local,,,,,,987063142,stable,Airlines,2020-02-03T09:37:56,0.0.5
,,16.4,3,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 3,,local,,,,,,987063143,stable,Airlines,2020-02-03T09:38:13,0.0.5
,,16.5,4,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 4,,local,,,,,,987063144,stable,Airlines,2020-02-03T09:38:29,0.0.5
,,16.7,5,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 5,,local,,,,,,987063145,stable,Airlines,2020-02-03T09:38:46,0.0.5
,,16.4,6,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 6,,local,,,,,,987063146,stable,Airlines,2020-02-03T09:39:02,0.0.5
,,16.7,7,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 7,,local,,,,,,987063147,stable,Airlines,2020-02-03T09:39:19,0.0.5
,,16.4,8,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 8,,local,,,,,,987063148,stable,Airlines,2020-02-03T09:39:36,0.0.5
,,16.4,9,autogluon_nobag,openml.org/t/189354,AssertionError: config.fold should only be 0 when running AutoGluon ablations! Value: 9,,local,,,,,,987063149,stable,Airlines,2020-02-03T09:39:52,0.0.5
0.6926680000000001,0.764411,1698.7,0,autogluon_nobag,openml.org/t/189356,,,local,11.0,11.0,,46.4797,0.764411,4258478697,stable,Albert,2020-02-03T09:10:04,0.0.5
